Estado,País,% de Lucro,Latitude (generated),Longitude (generated),Lucro,Vendas
Tocantins,Brasil,11.04%,-10.5,-48,4301.4,"R$ 38,961.60"
Sergipe,Brasil,22.10%,-10.5,-37.5,3483.6,"R$ 15,765.80"
São Paulo,Brasil,22.23%,-22,-49,218780.2388,"R$ 984,169.64"
Santa Catarina,Brasil,-8.21%,-27,-50,-16651.286,"R$ 202,802.11"
Roraima,Brasil,17.40%,1.8431,-61.1996,2412.3736,"R$ 13,862.77"
Rondônia,Brasil,18.39%,-11,-63,1030.4832,"R$ 5,603.88"
Rio Grande do Sul,Brasil,23.96%,-30,-54,49954.338,"R$ 208,480.54"
Rio Grande do Norte,Brasil,-49.81%,-5.75,-36,-34703.2128,"R$ 69,668.59"
Rio de Janeiro,Brasil,15.28%,-22.0721,-42.0715,26483.2204,"R$ 173,341.62"
Piauí,Brasil,26.37%,-6.8575,-42.2745,3585.7076,"R$ 13,595.91"
Pernambuco,Brasil,-0.94%,-8.55,-37.36,-1708.8988,"R$ 182,325.50"
Paraná,Brasil,27.47%,-24.6344,-51.8181,64395.3276,"R$ 234,421.33"
Paraíba,Brasil,23.93%,-7.25,-36.5,21376.528,"R$ 89,331.93"
Pará,Brasil,27.96%,-4,-53,24393.392,"R$ 87,238.59"
Minas Gerais,Brasil,-7.25%,-18,-44,-23658.3016,"R$ 326,459.50"
Mato Grosso do Sul,Brasil,24.56%,-21,-55,8880.8016,"R$ 36,166.40"
Mato Grosso,Brasil,-2.43%,-13,-56,-865.7768,"R$ 35,683.42"
Maranhão,Brasil,-4.61%,-5,-45,-7784.120400000,"R$ 168,741.48"
Goiás,Brasil,22.14%,-15.9787,-50.2744,18713.3316,"R$ 84,506.13"
Espírito Santo,Brasil,12.41%,-19.6072,-40.447,5274.8,"R$ 42,497.80"
Distrito Federal,Brasil,17.48%,-15.7755,-47.7809,22147.7868,"R$ 126,726.39"
Ceará,Brasil,-22.63%,-5.3292,-39.3727,-22869.5316,"R$ 101,068.47"
Bahia,Brasil,-45.95%,-12,-42,-80856.4444,"R$ 175,981.56"
Amazonas,Brasil,27.34%,-3.874,-63.4628,16719.5192,"R$ 61,143.32"
Amapá,Brasil,21.95%,1.6059,-52.0162,12486.2516,"R$ 56,894.85"
Alagoas,Brasil,-21.92%,-9.6588,-36.6838,-14496.258,"R$ 66,118.54"
Acre,Brasil,27.62%,-9.1376,-70.7031,1939,"R$ 7,019.80"
